ID,Do you think the current tariff policy under the Trump administration will have a positive or negative impact on the overall U.S. economy and society?  (select),Please answer briefly in 2–3 sentences to support your opinion. (text),Do you think your opinion differs from that of most people in the US? (select)
11896,Negative,I believe the tariffs will give us a bad reputation with other countries. U.S. consumers will now have to take on the extra tariff charges.,"No, my opinion aligns with the majority view"
11895,Negative,I do not believe that Trump's tariffs are sustainable in the long term. They have the potential to really hurt businesses in the long run.,I’m not sure
11891,Negative,The American people will be taxed not the corporations. If the economy was better then I maybe would support a small one.,"No, my opinion aligns with the majority view"
11890,Positive,It makes it fair for USA. We were losing lots of money we can use for our country under the old administrations for decades.,I’m not sure
11888,Negative,"It drives the cost of goods up. It's not really a tariff, it's additional taxes we the consumer have to pay.","Yes, my opinion differs from the majority view"
11887,I am not sure,"Mixed opinion. I think it's resulted in some good trade deals, but I also think it went too far and covered more countries than necessary. Extreme protectionism is never a good things and tariffs have subpar results for the native country if they overstay their welcome.","Yes, my opinion differs from the majority view"
11886,Negative,"I am not an expert on tariffs, but I know they are not helpful in world trade and don't have the effect the Trump administration claims they will have. The direct cost of tariffs is borne by domestic consumers, not by the countries being subject to them. I am hearing anecdotes that domestic companies that produce products mainly for overseas export are shifting that production to outside the US to avoid the cost of tariffs.",I’m not sure
11884,Negative,The US dollar is already unstable. Different countries are already losing trust in the US. I believe this will cause more harm than benefit.,"No, my opinion aligns with the majority view"
11883,Negative,I don't think anything Trump imposes is to help the American people.,"No, my opinion aligns with the majority view"
11882,Negative,The tariff's were far too steep and sudden for business to adapt properly. And they are to unstable to plan for the future.,I’m not sure
11881,Negative,I think tariffs can affect the structure of the economy and make trade more difficult. Companies will opt for easier trade options and can cease business opportunities with the US.,I’m not sure
11878,Negative,"All the current tariff policy will do is raise prices for consumers.  He is operating under the assumption that the rest of the world needs us more than we need it.  We are an enormous market but we aren't the only one and once things shift away from us they won't come back.  Markets will be closed to us and we will suffer and if manufacturing does come back, it will be automated and bring in fewer jobs than it costs.",I’m not sure
11876,Negative,Priced have already started to increase a sa result of tariffs. Foreign relations are not good at the moment. ,"No, my opinion aligns with the majority view"
11875,Negative,I think the current administration is tanking the economy purposely so that the billionaires behind them can swoop in and capitalize on exploiting the working class even further.,"No, my opinion aligns with the majority view"
11874,Negative,I don’t support current tariff policies. I think that it arose diplomatic ties and will cause problems for some economic front and then in diplomatic relations.,"No, my opinion aligns with the majority view"
11872,Negative,"The current tariff policy will have a negative effect on the U.S. economy and society in general.  Already we are seeing an increase in prices and it feels unsustainable for the average American.  Additionally, many people voted for this because they had no concept of how tariff policies operated which caused division rooted in false information.  This can lead to nowhere good.",I’m not sure
11871,Negative,Due to an increase in the tariffs the overall cost of living will increase to a point that the economy will suffer.,"No, my opinion aligns with the majority view"
11870,Negative,Because it is a hidden tax. And it will affect poor people heavily. And it will raise prices. ,"Yes, my opinion differs from the majority view"
11865,I am not sure,"Sometimes new changes can have negative effects now, but be good for the future. I don’t know what it will lead to in the future, so I’ll remain optimistic.","Yes, my opinion differs from the majority view"
11862,Negative,I think that he creates distrust and political division in American society. I think he uses the position to make money for himself rather than the American economy. I think his economic policies and stances are extremely bad for this country and will force the world to stop using the dollar/gold standard.,I’m not sure
11855,Negative,"Tariffs has made the USA separate itself from its alliances. Most of our enemies are uniting, bypassing us as a trade ally and ousting the USA.","No, my opinion aligns with the majority view"
11854,Negative,"Adding more taxes to goods imported from overseas is dangerous, as we rely heavily on Chinese imports to support many American businesses. The risk of retaining profits from selling goods and services will be highly impacted in today's economy, especially with the value of the dollar decreasing and inflation increasing.","No, my opinion aligns with the majority view"
11852,Negative,The us cannot produce everything we need in this country. This is just another way to screw the middle class and lower class.,"No, my opinion aligns with the majority view"
11849,Negative,"Since he's implemented the tariffs, everything is more expensive. I'm not able to shop for foreign goods anymore for a reasonable price. I see no improvement in the economy.","No, my opinion aligns with the majority view"
11848,Negative,Most people I've spoken to or have read about that have been directly affected by increased pricing or fees shopping due to tariffs do not see any potential benefits with how quickly this was implemented with no structure or preparation. Other nations have rather than folding increased trade with other partners and the overall result has just been much higher costs for consumers in  a time where we are already struggling economically,"No, my opinion aligns with the majority view"
11842,I am not sure,"The uncertainty about who is tariff’d, at what rate, and for how long can make these seem uncertain.",I’m not sure
11841,Negative,It is going to raise the cost of every day goods and people will not be able to afford them and we have to cut back on many things.,I’m not sure
11840,I am not sure,I am not completely sure how the tariffs are impacting the U.S. economy and society. It is a topic that I am not too knowledgable on but if I had to guess that it negatively impacts it.,I’m not sure
11838,Positive,There has been strict laws that have been put in place to control and maintain the indudtry in n organized way ,"No, my opinion aligns with the majority view"
11836,Negative,"the isolated tariffs might theoretically cause people to buy more products produced manufactured and sold in the US, however the country's reliance on outsourced products is too great for it to have any positive effects, people still buy imported goods and US companies rely on outsourced manufacturing and might stall economy growth for the time being ",I’m not sure
11835,Negative,"I think the tariffs hurt more than they help. Prices go up for regular people, and it makes things harder for businesses too.
","No, my opinion aligns with the majority view"
11832,Negative,These tariffs discourage for goods to be imported. We are losing a lot of overseas business. ,"No, my opinion aligns with the majority view"
11830,Negative,Trump's tariff policy is likely to cause inflation and slow economic growth. I believe that it increase the chance of a recession.,"No, my opinion aligns with the majority view"
11829,Negative,Currently we are seeing large price increases on my common goods. Companies are also not willing to hire people because of the uncertainty of the economy moving forward.,"No, my opinion aligns with the majority view"
11828,Negative,"I, think the current tariff policy will have a negative effect on the overall economy, and society because it will make goods, and services drastically increase. And that will be a financial hardship for a lot of people because a lot of people are already struggling financially since the cost of living is too high already.","No, my opinion aligns with the majority view"
11826,Negative,Tariffs will hurt America overall. This current administration thinks it will hurt other countries and their supporters believe it. ,"Yes, my opinion differs from the majority view"
11824,Negative,Increased tariffs will make products more expensive. Society and life would get worse than it already is.,"No, my opinion aligns with the majority view"
11823,Positive,Tariff are going to help the U.S. start paying down the national debt. It will also allow them to fund social security and medicaid. ,"Yes, my opinion differs from the majority view"
11820,Negative,"Tariffs will be pushed onto the American consumer and hurt citizens more than anything. We do not need to annoy, antagonize or create hostilities with our trade partners. These tariffs will force our trade partners to do their heavier trading elsewhere and lower the worth of the US dollar. We especially do not need to push these issues with our bordering neighbors. These tariffs will and are ruining our economy and country. ","No, my opinion aligns with the majority view"
11819,Negative,"You called me is gonna continue to go down, possibly even into a major depression or recession due to Trump’s tariff policy. This is due to increased prices for both American consumers and corporations. This will cause both consumers to stop buying unless they really need something and corporations are going to have to increase prices in past. We are already seeing international trade relations decrease because they need to find product or manufacturer product elsewhere to save money ","No, my opinion aligns with the majority view"
11816,Positive,"It will bring in a lot of money into economy, therefore generating a positive outcome. It is also a useful negotiation tool for the country which should hopefully yield positive results.",I’m not sure
11813,Negative,"consumer will end up paying for the increase in price for everything, resulting in inflation and lost in the trust of the dollar. Companies are also going to spend more on shipping inventory. ","No, my opinion aligns with the majority view"
11812,Negative,It is already obvious that the economy is starting to struggle. Companies are now needing to charge more for basic raw materials and even food.,I’m not sure
11811,Negative,I chose this as my answer because one of my main reasons is that everything cost more. Making things cost more will just make it harder on Americans who are already struggling.,"No, my opinion aligns with the majority view"
11808,Positive,"Other countries put tariffs on us, it's fair for us to do the same to them. This will also provide incentive for American companies to buy products made in USA.",I’m not sure
11807,Negative,"As a professional buyer, I have seen first hand the effects of the higher tariffs. If we are forced to buy domestically, EVERYTHING will be more expensive.","No, my opinion aligns with the majority view"
11805,Negative,I believe that Tariffs will hurt the economy because Tariffs will cause businesses to raise prices on their goods and products which they will in turn pass the cost onto the customers.,"No, my opinion aligns with the majority view"
11803,Negative,Tariffs are a tax on consumers. It is very difficult to manufacturer everything in the US so the costs are going to be passed onto the consumers and make everything more expensive.,I’m not sure
11802,Negative,"Things have become increasingly more expensive over the past year or so, and tariffs are to blame.",I’m not sure
11801,I am not sure,"It’s complex.  I see it like this. There is more than one side to everything. It can create leverage in trades and negotiations, which is a good thing. But it can also increase prices for consumers who don’t have that much money and spent a lot of money on products. The high taxes on it wouldn’t be good.. also it can protect jobs, but it can also raise cost in other industries that rely on imported stuff.","No, my opinion aligns with the majority view"
11798,Negative,Prices for goods are already increasing.   Multiple businesses have already said they will raise prices because of Trump’s tariff policy.   Tariffs historically have never led to a decrease in prices. ,"No, my opinion aligns with the majority view"
11796,Negative,"Prices have already increased on some items as much as 25%. The tariffs seem to benefit only Trump, who likes to tank the stock market by announcing them. The man on the street is struggling to pay for increases in food prices.",I’m not sure
11795,Negative,"Tariffs are always a tax on the consumer, thus driving up prices. Two thirds of the economy is consumer spending. Adding price increases to an economy already struggling with inflation cannot be beneficial. If history is instructive, and it is, three times has the US pursued aggressive, widespread tariffs (including Smoot-Hawley), and three times the economy collapsed afterwards. There is no precedent for success with this policy.","No, my opinion aligns with the majority view"
11794,Negative,"Hypothetically, if I wasn't already watching it play out negatively right in front of me, I believe that the Trump admins tariff policy will have a negative impact because the burden of cost falls onto the backs of the American people. Tariffs raise the cost of goods that we realistically can not manufacture within the US, especially not in a cost effective manner, which leads to less disposable income and less economical activity. ","No, my opinion aligns with the majority view"
11793,Negative,"When you buy things from overseas like AliExpress, the shipping has gone up. Also, the price of goods that you normally purchase have gone up as well.","No, my opinion aligns with the majority view"
11792,Negative,"The way tariffs are handled by Trump, the people that live in middle class or even lower will suffer significantly due to the excessive change in prices and with how sudden it came.","No, my opinion aligns with the majority view"
11791,Negative,i think it makes other countries not like America. I also think it will make America seem like bullies,"No, my opinion aligns with the majority view"
11790,Negative,"Well, I believe that countries cannot survive independently, they need each other one way or another. The current tariff policy will cause negative effects like the rise in prices of all imported commodities. Also, it may result in inflation as the supply and demand chain will have been altered. There will be an equilibrium imbalance.","No, my opinion aligns with the majority view"
11783,Negative,"Food items (especially ethnic food ingredients) will become difficult for families to buy. This country was built and developed on globalization. This will impact the well-being of poor families.

Arizona Beverage Company drinks, which has always had a $0.99/per can business model, is considering increasing their prices due to the tariffs.","No, my opinion aligns with the majority view"
11781,Positive,I think it will force more companies to use US goods and services instead. Therefore in the long run opening up more opportunities within the US instead of outsourcing.,"No, my opinion aligns with the majority view"
11780,Negative,Just negative in every way. It is the wrong step in the world.,"No, my opinion aligns with the majority view"
11779,Positive,Because of the US other countries make money so we should have a big cut in the deal.,"No, my opinion aligns with the majority view"
11777,Negative,These tariffs are slowly killing the economy by not allowing us to have free will and trade. Prices are hiking up in the states for local necessities therefore I believe this whole situation is a negative.,"No, my opinion aligns with the majority view"
11775,Positive,Because it will bring more production infrastructure to the states.  Already many companies have begun the steps to produce here in America.,I’m not sure
11771,Negative,We are already seeing higher prices on US products and goods. This also places the US on bad terms with our trading partners. ,"No, my opinion aligns with the majority view"
11768,Positive,I think we’re going to feel the pinch early on. This is more of a long term plan rather than short term plan. I’d rather suffer a bit now and have my children’s future be much better economically. ,I’m not sure
11766,Negative,he seems to make changes without long term plans just hoping others cave to his demands,"No, my opinion aligns with the majority view"
11765,Positive,This tariff policy will have an extremely good effect on the U.S. Economy and Society. The policy is only the beginning and its a hint towards the future and path that are our country is headed towards. We need to help Mexico and South America industrialize over the next 20 years. Any products Made in China should be removed from our shelves. Our economy will be much stronger if we allow Mexico and South America to produce our goods. Minimum wage will go up once we remove China from our economy.,"Yes, my opinion differs from the majority view"
11760,Negative,"If we put tariffs on other countries, then they will turnaround and put tariffs on us. this will raise the cost of goods, which will affect the consumers ","No, my opinion aligns with the majority view"
11758,Negative,"With the tariffs in place, consumers will end up paying more money.  The companies aren't going to and shouldn't eat the extra taxes put on any items coming in to our country.","No, my opinion aligns with the majority view"
11757,Negative,"The current tariff policy under the Trump administration will have a negative impact on the overall U.S. economy and society for sure, because everything increases its price and we have to suffer.","No, my opinion aligns with the majority view"
11756,I am not sure,It's already been a few months since the tariffs have been enacted and it hasn't been as bad as opponents have predicted.  I think we have to wait and see longer and pay attention to whether it will help domestic job growth.,I’m not sure
11755,Positive,"I think that companies will be more driven to negotiate more aggressive deals because of Trump's policy. I believe all countries business' will be more capitalistic within these policies to fill in a gap for business' who have to reevaluate their business deals and relationships. I Trump's policies could reinvigorate or restart business realities, forcing people to act or figure out ways to survive. ",I’m not sure
11754,Negative,the people who struggle to pay for groceries everyday will be affected by the tariffs the most. We import goods from many different countries. ,"No, my opinion aligns with the majority view"
11752,Negative,The businesses are already complaining about the extra costs that they have to pass on to the consumers. Other countries have stopped shipping to the US.,"No, my opinion aligns with the majority view"
11750,Negative,"I think it will have a negative impact because it costs consumers more to purchase items than they did previously. This jump in prices will reverse engagement within the economy, making it worse overall. ","No, my opinion aligns with the majority view"
11749,Negative,I think that a response to any economic issue cannot be solved overnight and needs to be well thought out and planned due to the large impact even small changes have. These tariffs have forced small business to close down seemingly overnight. ,I’m not sure
11746,I am not sure,Trump himself is already a negative impact on America. The tariffs may or may not have a negative effect on us. ,I’m not sure
11745,Negative,"It's a broad swath of tariffs, rather than targeting specific products that we make here in the US. That makes it a de facto massive sales tax hike, at a time when prices have not fully recovered from 2020. Americans are being squeezed from too many angles, but without the social safety net other countries with tariffed goods tend to have. ","No, my opinion aligns with the majority view"
11743,Negative,Tariffs caused everything to get more expensive. I can no longer afford groceries.,"No, my opinion aligns with the majority view"
11741,Negative,The increase in costs will just trickle down to consumers and make inflation worse. It will also have a negative impact on American businesses and make other countries trust us even less. ,"No, my opinion aligns with the majority view"
11740,Negative,Tariffs are creating unemployment and higher prices.  Companies bear the weight of these increased costs - ordinary citizens do.,I’m not sure
11738,Negative,"I feel like the fact that the tariffs are making everyday products more expensive the average American is not going to make major purchases as much and that will lead to having an even worse off economy. I also feel it is going to affect education in the long run. If parents can't afford groceries, how are they going to send their kids to college?","No, my opinion aligns with the majority view"
11737,Negative,"Honestly, I'm not that well-informed on tariffs, but Trump's an idiot so it's hard to get behind anything that man tries to implement. From all the insane price changes and from what I've seen on the news about tariffs, it seems like the policy stunts economy growth for the US and leads to job losses for many Americans","No, my opinion aligns with the majority view"
11734,Positive,I feel that what we have been doing hasnt worked so Im all for it. I believe we need to bring more revenue in to the U.S. rather than supporting the rest of the world right now in this current space. I have heard positive things about tariffs and revenue coming in to the U.S.,"No, my opinion aligns with the majority view"
11731,Positive,I will help fund public services also would provide extra income to the counry.,I’m not sure
11730,Negative,The tariffs will lead to increased prices on goods which will mean people won’t be able to afford them. This will not stimulate the economy more.,"No, my opinion aligns with the majority view"
11727,Positive,The tariff policy could help the U.S. economy. It can protect American jobs and businesses. People might buy more things made in the U.S.,"Yes, my opinion differs from the majority view"
11724,Positive,"I believe the current tariff policy will be positive because, with time comes change. The time has come to try new numbers and percentages, and let's see what happens! The good thing is that things can always be negotiated! ","Yes, my opinion differs from the majority view"
11723,Negative,His previous actions for the US have had a negative impact on everyday working people. He only cares about the rich getting richer.,"No, my opinion aligns with the majority view"
11722,Negative,it’s only going to harm us people who shop from different countries. Now we have to pay extra money when we get stuff delivered. There are many things which are cheaper to get from different countries but now it won’t be cheap anymore ,"No, my opinion aligns with the majority view"
11720,Negative,"I believe that the current tariff policy has already shown us that it has a negative impact on the overall US economy because of raising grocery prices, gas prices, and the price of living these days. ","No, my opinion aligns with the majority view"
11719,Negative,Tariffs will raise the price of imported goods. This amounts to a tax on imports from other countries ,"No, my opinion aligns with the majority view"
11718,Negative,Inflation is rising and everyday cost of living for necessities is becoming more unaffordable for average Americans. The tariffs are a tax on the people because the costs of tariffs get passed on to the consumer. ,"Yes, my opinion differs from the majority view"
11717,Negative,It will cause prices to go up in common household items. This will work to make inflation even worse.,"No, my opinion aligns with the majority view"
11715,Negative,"Prices were already going up because of the pandemic and corporate greed.  They have now escalated and there appears to be no end in sight.  For people at risk, this puts them in a higher risk bracket. People may have to start choosing what to buy to eat and what to give up.  The whole tarriff situation is a fiasco.","No, my opinion aligns with the majority view"
11714,Negative,I think it's going to be bad the price is rising on everything. ,"No, my opinion aligns with the majority view"
11713,Negative,It will make things cost more. People cannot afford to pay more for those things.,"No, my opinion aligns with the majority view"
11709,Negative,I think that it's only going to be passed on to the consumer nobody else. ,"No, my opinion aligns with the majority view"
11708,Positive,"I believe that they will improve job security and bring more jobs back to the United States.  While I believe the short term affects may be slightly negative, the long term affects will strengthen the economy.",I’m not sure
11704,Negative,his tariffs are bullshit. i cant get parts from other countrys if i can it is extremely expensive. the only people who are paying the tariffs are the american people.. the orange man is a moron,I’m not sure
11703,Negative,I don’t think Trump understands that the tariffs he thinks he’s putting on other countries are actually the prices we have to pay for those things. So many things that we get overseas have already gone up so much in price and they’re never going to come down anymore. ,"No, my opinion aligns with the majority view"
11702,Negative,I think it’ss wasteful and dangerous game to play. The effects of these tariffs are increasing the costs on the US. It’s also putting a strain on foreign relations with allies.,"No, my opinion aligns with the majority view"
11699,Negative,"I feel like this will increase prices in the U.S., which may lead to a slow down in the economy. Furthermore, the policy will simply anger our international partners for no reason.",I’m not sure
11698,Negative,People are barely surviving right now and unless you are rich is directly affecting everyone. Not only do the wages not match the price of living but it continues to increase drastically and tariffs only make things worse,I’m not sure
11697,Negative,It seems like prices of everyday goods will increase. Grocery store shelves may become empty.,"No, my opinion aligns with the majority view"
11696,Negative,"I think the tariffs are too broad and being administered too inconsistently. Some tariffs might work well, but the way the government is making them all really high and seemingly randomly placing them and then removing them is making things really unstable. ","No, my opinion aligns with the majority view"
11695,Negative,"The tariff will act as a regressive tax on the poorest of us. The people will suffer, small business will suffer and other countries will react in kind.","No, my opinion aligns with the majority view"
11692,Negative,"I think it will make things more expensive for people to buy, and things have already been getting more expensive.",I’m not sure
11691,Negative,It will cause global tension with other trade partners and increase costs for consumers as well as decrease the number of options of items we have to purchase. ,"No, my opinion aligns with the majority view"
11690,Negative,"So far, the traffic policy under Trump has harmed my business and family business. As it changed how we charge our products and gather supplies. In addition, it has become a little more expensive economy. Like for grocery shopping, vacations, etc... So I needed to shift my lifestyle to adjust with the new changes.. ","No, my opinion aligns with the majority view"
11689,Negative,tariffs will raise prices as well as inflation which means the citizens will end up paying for the tariffs,"No, my opinion aligns with the majority view"
11688,Negative,"the prices are rising instead of falling. ups refused to deliver one of my packages unless i paid the tariff, so i didn't pay and i don't have what i ordered.","No, my opinion aligns with the majority view"
11687,Negative,Well the tariffs are not really fairly imposed. They are just kind of based on Trump and his administration's feeling of a nation. If they like you and you bow to them it will be favorable. If you don't bow to them and oppose them(counter tariffs) they will go scorched earth. It is not based off numbers or finances. ,I’m not sure
11686,Negative,the middle class cant afford the price increases..  all this is doing is hurting us.  even if tariffs decreate eventually companie wont lower prices,"No, my opinion aligns with the majority view"
11684,Negative,Its going to make prices go up. Things cost too much as it is with inflation. Tariff are going to make everything worse.,"No, my opinion aligns with the majority view"
11678,Negative,It will make everything too expensive and the economy will crumble. People will lose their jobs and homes.,"No, my opinion aligns with the majority view"
11676,Negative,prices are increasing everywhere. people have less income to spend on things which will result in a slow economy,"No, my opinion aligns with the majority view"
11674,Negative,It will make products more expensive and less money for people ,"No, my opinion aligns with the majority view"
11673,Positive,"I feel like in the long run it will eventually have a positive impact, but it may be tough for the start",I’m not sure
11670,Negative,"The tariffs are already having a negative impact. Prices have risen continuously ever since the mention of tariffs. Some products have more than doubled, or even tripled, in price in my local area, so there is definitely a negative impact on the economy, as well as society as a whole, as we're losing even more trust in the government due to this.",I’m not sure
11669,Negative,Cost of everything is getting higher and its pricing out its own US citizens with the addition of how high inflation is.,"No, my opinion aligns with the majority view"
11667,Negative,It could be a lot of other statistics but it seems the government benefits more then its people.,I’m not sure
11666,Negative,It will cost everyone a lot more than they think and it will put small businesses in financial ruin. Farmers are already feeling the immigration policies. Tariffs only hurt the everyday consumer. ,"No, my opinion aligns with the majority view"
11664,Negative,I believe it will contribute to inflation. It is hurting american farmers,"No, my opinion aligns with the majority view"
11663,I am not sure,I’m not sure. I think reciprocal tariffs could be appropriate. ,I’m not sure
11662,Negative,"I think historically trade partnerships were good for our economy, such as NAFTA, whereas tariffs restrict trade and pass on the expense to consumers. It also diminishes relations and goodwill with foreign nations. Additionally, tariffs do not bring more manufacturing to the US as we already got rid of the factories to do so and the costs are prohibitively high to make things here. So it only hurts ourselves to add tax to places we import goods from. ","Yes, my opinion differs from the majority view"
11660,Negative,I think it will have a negative effect because importing goods will cost more since they have to pay the tariffs. This will make the goods consumers buy more expensive to buy.,"No, my opinion aligns with the majority view"
11658,Negative,Tariffs are only extra money out the pockets of the American people. Prices are not going down. This administration is hurting the American dollar world wide.,"Yes, my opinion differs from the majority view"
11657,Negative,I think it causes negative relationships with foreign countries ,"No, my opinion aligns with the majority view"
11655,Negative,I think tariffs in general do more harm than good. I am not a fan of protectionism.,"No, my opinion aligns with the majority view"
11651,Negative,I see costs rising across the board as companies pass along the tariffs to customers. This is going to hurt consumer spending which will have a negative impact on the economy.,I’m not sure
11648,Negative,I believe it is going to be a terrible impact. I’ve seen some videos saying that experts say it’s horrible what this awful administration is doing.,"No, my opinion aligns with the majority view"
11647,Negative,My first reason is that the rising cost of living is getting out of hand and control. People worldwide are feeling the effects of Trumps Tariff war that is going on.,"Yes, my opinion differs from the majority view"
11646,Positive,His policy will bring countries to the table to negotiate tariff rates which could cause the price of imported goods to come down.  It will also force manufacturing of some products domestically which will boost jobs in the US.,I’m not sure
11645,Negative,"Tariffs increased prices for consumers and businesses alike, ultimately burdening the U.S. economy and leading to decreased competitiveness in the global market, while also placing an undue financial strain on the American consumer.","No, my opinion aligns with the majority view"
11644,Negative,"Tariffs will make everyday expenses more expensive for everyone, including people that already can’t afford them. They will also affect which products we will be able to purchase based on who is no longer willing to ship to the United States. ","No, my opinion aligns with the majority view"
11642,Positive,Tariffs is a way of getting out of chinas grip. Why are we the only ones who should have to pay taffis?,"Yes, my opinion differs from the majority view"
11638,Negative,Tarrifs cause price raises. People already are having trouble affording things. Both of these equal a negative impact. ,I’m not sure
11635,Positive,it forces countries for a fair exchange. we make a great profit from tariffs,"Yes, my opinion differs from the majority view"
11632,I am not sure,"I am not sure what the effect is going to be yet, but my fingers are crossed. I am indifferent about it, maybe my perception of it will change as time goes on. ",I’m not sure
11630,Positive,I believe this is the correct action plan for our amount of debt. It's really the best way to go due to our policies with other countries.,"Yes, my opinion differs from the majority view"
11629,Negative,"Consumers are already struggling to stay afloat when it comes to their finances and budgets, and the added tariffs will cause the price of everything to go up. Which will make it even more difficult for people to afford groceries and every day necessities. ","No, my opinion aligns with the majority view"
11627,I am not sure,I am split about what the tariffs can do. I think it can help in the long term but hurt in the short term,I’m not sure
11626,Negative,I feel like just the threat has made the economy worse. Gas and groceries are more expensive than they’ve ever been. ,I’m not sure
11625,Negative,Tariffs are affecting businesses esp smaller ones who can't afford the cost of losing a market or importing materials.  ultimately the consumer will be the ones to pay the high cost of imports.,I’m not sure
11624,Positive,because it will help to collect money for our country,"No, my opinion aligns with the majority view"
11623,Negative,The amount charged on tariffs is very high and unreasonable. Everything made in the US cost so much and to raise tariffs prices that much is cuts foreign relations which is not good for overall US global affairs. ,"No, my opinion aligns with the majority view"
11621,Negative,I think we already have an inflation crisis here in the US. I believe people will just go without a lot because they can't afford to purchase items from the US that the would previously gotten cheaper from other countries.,"No, my opinion aligns with the majority view"
11620,Negative,"I think Trump's policies are too elementary to implement in a global economy with current geopolitical concerns.  He has implemented tariff policies on allies, which has led to a realignment of countries who trade, and that will have a detrimental impact on the US.","No, my opinion aligns with the majority view"
11619,Positive,"I think tariffs may hurt the economy early on, but they will work out for the best. They are a necessary evil.","No, my opinion aligns with the majority view"
11618,Negative,There have been studies that show that tariffs are just passed down to the consumer. All they will do is cause inflation.,I’m not sure
11617,Negative,Prices of goods will go up and people will buy less,I’m not sure
11616,Negative,"The cost of tariffs will go to the consumer, which means prices will increase for everyone in the U.S.  Even if the tariffs stop, once prices go up and companies realize people will pay, they will keep it that way for profits.","No, my opinion aligns with the majority view"
11613,Negative,Higher tariff will mean higher prices passed on to the consumer.  Businesses can't absorb all the tariff cost.,"No, my opinion aligns with the majority view"
11612,Negative,It is too chaotic and will eventually cause prices to rise,I’m not sure
11607,Negative,Things are becoming more expensive while other trading partners are retaliating against us. There have been a big loss of jobs despite stock prices still being good.,"No, my opinion aligns with the majority view"
11603,Negative,Tariffs are contributing to increased costs in quality of life for the vast majority of citizens. Economic and social issues increase not only within our country but also in our relationship with other countries.,I’m not sure
11601,Positive,I believe it’s a sacrifice we need to make to keep the economy from crashing. I believe tariffs will make America’s goods hold more value. ,"Yes, my opinion differs from the majority view"
11600,Negative,The prices on items are going up.  I think inflation and the tariffs will keep the prices on goods higher and the costs will be something that folks are going to continue to have trouble dealing with.,"No, my opinion aligns with the majority view"
11598,Negative,Tariff adds burden to both supplier and consumer and cause more inflation that hurts the economy,"No, my opinion aligns with the majority view"
11597,Negative,"It's already shown negative impacts with the significant rise in prices, even those that were to be considered cheap thanks to China's cheap costs before the tariffs.","Yes, my opinion differs from the majority view"
11596,Negative,"I feel the current tariff policy under the Trump administration has been harmful so far to the US economy and siciety,  because it has resulted in high consumer costs, for businesses and American consumers as well. I think agriculture and manufacturing have been particularly affected as well as our international relations and trust from former allies. Instead of protecting US industries, it has led to retaliatory tariffs and disrupted global supply chains with long term economic uncertainty",I’m not sure
11595,Negative,I think it's negative because it's going to effect prices and the economy but on the other hand they impose tariffs on us so why shouldn't we impose them on the countries that impose them on us?!,"No, my opinion aligns with the majority view"
11594,Negative,I feel like he's going to hurt the economy. I also think that other countries abnd people will have a bigger negative impression of him that they may already have.,"No, my opinion aligns with the majority view"
11593,Negative,"I think by increasing the tariffs, it ends up increasing price of products. Then, resulting in the decrease of the economy.","No, my opinion aligns with the majority view"
11589,Negative,"I think that the tariff policies will have a short term negative impact on the economy because companies will just pass the costs of the tariffs on to the consumers.  Consumers will then have to spend more money for the same goods they previously purchased.  This in turn will mean that consumers will have to absorb the higher prices by cutting back their spending on other things like groceries, eating out, going to concerts, etc.","No, my opinion aligns with the majority view"
11588,I am not sure,I really don't know enough reliable information to be able to make a thorough opinion on how the tariff policy will affect U.S. economy and society. Perhaps I should research this more.,"No, my opinion aligns with the majority view"
11586,Negative,I think that it has negatively increased the prices of things that I purchase. It has put a damper on my spending habits. ,"No, my opinion aligns with the majority view"
11584,Negative,"I think the tariff policy will have a negative impact overall. While it may protect a few industries and raise some revenue, it raises prices for consumers, increases costs for businesses, and risks retaliation from trade partners. Over time, this slows economic growth and hurts households, especially those with lower incomes.",I’m not sure
11582,Negative,"Tariffs are a tax.  So they slow growth. They also reduce competition and, in its current form, are an invitation for corruption. They are now integral to central planning, which generally fails. ","No, my opinion aligns with the majority view"
11577,Negative,Too many things come from China and prices aren't only going up with that but the u.s. economy is rising as well.,"No, my opinion aligns with the majority view"
11576,I am not sure,"I do not know much about the situation. However, I would think that it would have a positive impact if the government works in the best interest of the people.",I’m not sure
11574,Negative,The price of goods has already risen and will continue to rise. Companies are prepared to build more facilities overseas to reduce cost.,"No, my opinion aligns with the majority view"
11572,Positive,"The current Tariff policy will have a positive impact on the U.S economy in the future because it will require company’s to pay more to import goods. This will make their products more expensive compared to the U.S products, which will enable people to buy American products to boost our own economy.","Yes, my opinion differs from the majority view"
11570,Negative,As a consumer I probably feel less inclined to spend. I feel concerned when buying anything overseas and feel I am not able to get what I want as easily without concerns or some fear attached. I think Trump had a strong idea with the Tariffs but also went too far with it ,"No, my opinion aligns with the majority view"
11567,Negative,"I think it is negative because it has made everyone's lives so different and so much worse, like things are more expensive. I also think it is really sad that we have to go through so much changes when our lives are already hard enough. ",I’m not sure
11566,Negative,"I believe that increased tariffs will ultimately result in an increase of the price of products in the United States. These increased prices will be transferred to the average American citizen, rather than the companies producing the products.",I’m not sure
11565,Negative,Raising prices on everything to support tariffs. Inflating prices,I’m not sure
11564,I am not sure,It's hard to predict a long term effect like that. ,I’m not sure
